,,,,,,,,,
,Fases,DESCRIPCIÓN,UN.,"P.U.
[Bs]",CANT,,COMBOS,,
,1,INSTALACIÓN DE FAENAS,glb, 100.70 , 0.04 ,,,,
,1,NIVELACIÓN DE TERRENO (no clasificado),m², 1.34 , 3.82 ,,,,
,1,TRAZADO Y REPLANTEO,m², 0.36 , 3.82 ,,,,
,1,FUNDACIONES DE HORMIGON ARMADO,m3, 136.91 , 0.50 ,,,,
,,,,,,,,,
,Materiales,,,,,,,,
,CEMENTO PORTLAND VIACHA,,bolsa,3.24,0.288,, 78.00 ,,
,ARENA COMUN,,m³,6,0.028,, 6.00 ,,
,GRAVA,,m²,4.8,0.024,, 4.80 ,,
,ACERO DE CONSTRUCCIÓN 8 mm,,kg,0.5012,0.6,, 8.85 ,,
,ACERO DE CONSTRUCCIÓN 12 mm,,kg,0.4588,3.4,, 8.83 ,,
,MADERA DE CONST.,,pie²,0.39136,1,, 0.39 ,,
,CLAVOS,,kg,0.56,0.08,, 13.00 ,,
,ALAMBRE DE AMARRE,,kg,0.58704,0.08,, 12.00 ,,
,,,,,3.56,, 60.47 , (56.91),
,Presupuesto I,,,, 79 ,, 136 ,,
,,,,,,,,,
,2,VIGAS DE HORMIGON ARMADO,m3,,2.00,, 28.18 ,,
,Materiales,,,0,0,,,,
,CEMENTO PORTLAND VIACHA,,kg,3.24,0.01152,, 76.00 ,,
,ARENA COMUN,,m³,6,0.028,, 6.00 ,,
,GRAVA,,m²,4.8,0.024,, 4.80 ,,
,ACERO DE CONSTRUCCIÓN 8 mm,,kg,0.5012,0.6,, 8.85 ,,
,ACERO DE CONSTRUCCIÓN 12 mm,,kg,0.4588,2.2,, 8.83 ,,
,MADERA DE CONST.,,pie²,0.3912,0.72,, 0.39 ,,
,CLAVOS,,kg,0.56,0.08,, 13.00 ,,
,ALAMBRE DE AMARRE,,kg,0.58704,0.08,, 12.00 ,,
,,,,,,,,,
,2,COLUMNAS DE HORMIGON ARMADO,m3,,3.92,, 87.96 ,,
,Materiales,,,,,,,,
,CEMENTO PORTLAND VIACHA,,kg,3.24,0.288,, 76.00 ,,
,ARENA COMUN,,m³,6,0.028,, 150.00 ,,
,GRAVA,,m²,4.8,0.024,, 120.00 ,,
,ACERO DE CONSTRUCCIÓN 8 mm,,kg,0.5012,0.6,, 8.85 ,,
,ACERO DE CONSTRUCCIÓN 12 mm,,kg,0.4588,2.2,, 8.83 ,,
,MADERA DE CONST.,,pie²,0.3912,3.2,, 9.78 ,,
,CLAVOS,,kg,0.56,0.08,, 13.00 ,,
,ALAMBRE DE AMARRE,,kg,0.58704,0.16,, 12.00 ,,
,,,,,,,,,
,2,SOBRECIMIENTO DE H°C°,m3,,1.20,, 15.22 ,,
,Materiales,,,,,,,,
,CEMENTO PORTLAND VIACHA,,kg,3.24,0.112,, 76.00 ,,
,ARENA COMUN,,m³,6,0.01,, 150.00 ,,
,GRAVA,,m²,4.8,0.014,, 120.00 ,,
,PIEDRA MANZANA,,m³,5.3812,0.032,, 5.38 ,,
,MADERA DE CONST.,,pie²,0.39136,1,, 0.39 ,,
,CLAVOS,,kg,0.6115,0.08,, 13.00 ,,
,ALAMBRE DE AMARRE,,kg,0.58704,0.16,, 12.00 ,,
,,,,,,,,,
,2,CIMIENTO DE H°C°,m3,,0.64,, 11.32 ,,
,Materiales,,,,,,,,
,CEMENTO PORTLAND VIACHA,,kg,3.24,0.112,, 76.00 ,,
,ARENA COMUN,,m³,6,0.008,, 150.00 ,,
,GRAVA,,m²,4.8,0.012,, 120.00 ,,
,PIEDRA MANZANA,,m³,5.3812,0.032,, 5.38 ,,
,MADERA DE CONST.,,pie²,0.39136,0,, 0.39 ,,
,CLAVOS,,kg,0.6115,0,, 13.00 ,,
,ALAMBRE DE AMARRE,,kg,0.58704,0,, 12.00 ,,
,,,,,,,,,
,Presupuesto II,,,, 8 ,, 143 , (134.92),
,,,,,,,,,
,3,LOSA DE HORMIGÓN CON VIGUETA PREFABRICADA,m²,,0.36,, 5.55 , (5.19),
,Materiales,,,,,,,,
,ACERO DE CONSTRUCCIÓN 10 mm,,kg, 0.50 , 0.08 ,, 9.08 ,,
,ALAMBRE DE AMARRE,,kg, 0.59 , 0.00 ,, 12.00 ,,
,CEMENTO PORTLAND VIACHA,,kg, 3.24 , 0.02 ,, 75.00 ,,
,CLAVOS,,kg, 0.61 , 0.00 ,, 13.00 ,,
,MADERA DE CONST.,,pie², 0.39 , 0.22 ,, 0.39 ,,
,PLASTOFORMO ,,pza, 0.76 , 0.08 ,, 15.48 ,24.51,36.84%
,VIGUETA PRETENSADA,,m, 1.02 , 0.08 ,, 22.34 ,32,30.19%
,ARENA FINA,,m³, 6.00 , 0.00 ,, 6.00 ,,
,GRAVA,,m², 4.80 , 0.00 ,, 4.80 ,,
,SIKA 01 ,,lt, 1.80 , 0.00 ,, 1.80 ,,
,,,,,,,,,
,3,INSTALACION AGUA POTABLE,pto,497.29,8.00,,,,
,3,INSTALACION SANITARIA,pto,491.51,8.00,,,,
,3,CIELO FALSO,m²,201.59,150.80,,,,
,3,MURO DE LADRILLO 6H,m²,148.47,368.10,,,,
,3,RETIRO DE ESCOMBROS,glb,"2,193.68",1.00,,,,
,,,,,,,,,
,Presupuesto III,,,," 95,156 ",," 95,161.21 ",,
,,,,,,,,,
,4,PISO DE CERÁMICA NACIONAL,m², -   , 0.01 ,,,,
,Materiales,,, -   , -   ,,,,
,CEMENTO PORTLAND VIACHA,,kg, 3.24 , 0.01 ,,,,
,ARENA FINA,,m³, 6.00 , 0.00 ,,,,
,CEMENTO BLANCO,,kg, 0.29 , 0.01 ,,,,
,CERAMICA  NAL. 20X30,,m², 2.45 , 0.04 ,,,,
,,,, -   , -   ,,,,
,4,PISO DE MADERA TAJIBO,m², -   , 0.00 ,,,,
,Materiales,,, -   , -   ,,,,
,CEMENTO PORTLAND VIACHA,,kg, 3.24 , 0.00 ,,,,
,ARENA FINA,,m³, 6.00 , 0.00 ,,,,
,CEMENTO BLANCO,,kg, 0.29 , 0.00 ,,,,
,CERAMICA  NAL. 20X30,,m², 2.45 , 0.01 ,,,,
,,,, -   , -   ,,,,
,4,ZOCALO DE CERÁMICA H=10CM,ml, 2.64 , 2.45 ,,,,
,4,REVESTIMIENTO CERAMICO,m², -   , 0.01 ,,,,
,Materiales,,, -   , -   ,,,,
,CEMENTO PORTLAND VIACHA,,kg, 3.24 , 0.01 ,,,,
,ARENA FINA,,m³, 6.00 , 0.00 ,,,,
,CEMENTO BLANCO,,kg, 0.29 , 0.01 ,,,,
,CERAMICA  NAL. 20X30,,m², 2.30 , 0.04 ,,,,
,,,, -   , -   ,,,,
